domain,min_rtt(ms),rtt(ms),max_rtt(ms),packets_lost
lamoda.ru,37.3,52.2,70.8,0
dns-shop.ru,18.6,25.4,28.8,0
habr.com,41.5,52.8,71.1,0
kinopoisk.ru,84.1,109.8,129.7,0
eldorado.ru,102.5,117.6,126.1,0
labirint.ru,99.6,116.7,126.3,0
ok.ru,72.3,108.0,126.2,0
kaggle.com,102.9,117.0,124.8,0
google.com,94.5,108.0,126.1,0
rt.ru,102.8,117.4,140.7,0
